#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
土	흙 토	ど 土曜日（どようび）ー토요일 土木（どぼく）ー토목 土台（どだい）ー토대 領土（りょうど）ー영토 領土分割（りょうどぶんかつ）ー영토 분할 国土（こくど）ー국토 国土庁（こくどちょう）ー국토청 土着（どちゃく）ー토착 土着民（どちゃくみん）ー토착민 と 土地（とち）ー토지 土地台帳（とちだいちょう）ー토지 대장 お土産（おみやげ）ー토산물	つち 土（つち）ー땅 赤土（あかつち）ー적토	흙 토(土) / 누를 압(圧) / 모일 사(社) / 토할 토(吐) / 단장할 장(粧)
圧	누를 압(흙(土)을 누름(厂))	あつ 圧力（あつりょく）ー압력 血圧（けつあつ）ー혈압 腹圧（ふくあつ）ー복압 水圧（すいあつ）ー수압 気圧（きあつ）ー기압 低気圧（ていきあつ）ー저기압 高気圧（こうきあつ）ー고기압 抑圧（よくあつ）ー억압 威圧（いあつ）ー위압 威圧感（いあつかん）ー위압감 圧迫（あっぱく）ー압박 圧迫包帯（あっぱくほうたい）ー압박 붕대 弾圧（だんあつ）ー탄압 鎮圧（ちんあつ）ー진압 電圧（でんあつ）ー전압 超高圧送電（ちょうこうあつそうでん）ー초고압 송전 加圧（かあつ）ー가압 油圧（ゆあつ）ー유압 制圧（せいあつ）ー제압 変圧（へんあつ）ー변압 変圧器（へんあつき）ー변압기 指圧（しあつ）ー지압 指圧療法（しあつりょうほう）ー지압요법		흙 토(土) / 누를 압(圧) / 모일 사(社) / 토할 토(吐) / 단장할 장(粧)
胃	위 위(밭(田)같이 넓은 몸(月)은 위장)	い 胃（い）ー위 胃腸（いちょう）ー위장 胃腸で食物を熟す（いちょうでしょくもつをこなす）ー위장에서 음식을 소화하다 胃酸（いさん）ー위산 胃癌（いがん）ー위암 胃痛（いつう）ー위통 胃潰瘍（いかいよう）ー위궤양		
石	돌 석	せき 宝石（ほうせき）ー보석 石油（せきゆ）ー석유 石油缶（せきゆかん）ー석유 드럼통 石炭（せきたん）ー석탄 石材（せきざい）ー석재 岩石（がんせき）ー암석 投石（とうせき）ー투석 しゃく 磁石（じしゃく）ー자석 永久磁石（えいきゅうじしゃく）ー영구자석	いし 石（いし）ー돌 石段（いしだん）ー돌계단 小石（こいし）ー작은 돌	돌 석(石) / 바위 암(岩) / 넓힐 척(拓) / 샘낼 투(妬)
叩	두드릴 고(무릎꿇은(卩)사람의 입(口)을 두드림)		叩く（たたく）ー때리다 無駄口をたたく（むだぐちをたたく）ー쓸데없는 말을 지껄이다 戸をこつこつ叩く音がする（とをこつこつたたくおとがする）ー똑똑 문을 두두리는 소리가 나다 叩く（はたく）ー털다, 탕진하다	두드릴 고(叩) / 목숨 명(命)
天	하늘 천	てん 天気（てんき）ー날씨 天気予報（てんきよほう）ー일기 예보 天国（てんごく）ー천국 先天的（せんてんてき）ー선천적 天井（てんじょう）ー천장 天職（てんしょく）ー천직 天皇（てんのう）ー천황 天然（てんねん）ー천연 天下（てんか）ー천하 天下を取る（てんかをとる）ー천하를 잡다 (정권을 잡다) 天地（てんち）ー천지 天才（てんさい）ー천재 天才肌である（てんさいはだである）ー천재적인 자질을 갖고 있다 天災（てんさい）ー천재 天災地変（てんさいちへん）ー천재지변	あめ 天（あめ）ー하늘 あま 天の川（あまのがわ）ー은하수 天下る（あまくだる）ー강림하다 天下り（あまくだり）ー강림, 하림	
夫	아버지 부(상투(一)쓴 큰 남자(大))	ふ 夫妻（ふさい）ー부부 夫人（ふじん）ー부인 農夫（のうふ）ー농부 ふう 夫婦（ふうふ）ー부부 相性の悪い夫婦（あいしょうのわるいふうふ）ー궁합이 안 맞는 부부 工夫（くふう）ー궁리	おっと 夫（おっと）ー남편	아버지 부(夫) / 열매 실(実) / 도울 부(扶) / 종 복(僕) / 칠 박(撲)
水	물 수	すい 水道（すいどう）ー수도 水泳（すいえい）ー수영 水泳帽（すいえいぼう）ー수영모 水滴（すいてき）ー물방울 下水（げすい）ー하수 下水管（げすいかん）ー하수관 地下水（ちかすい）ー지하수 海水浴（かいすいよく）ー해수욕 水準（すいじゅん）ー수준 水面（すいめん）ー수면 水分（すいぶん）ー수분 水平（すいへい）ー수평 水蒸気（すいじょうき）ー수증기 排水（はいすい）ー배수 潜水（せんすい）ー잠수 水力発電（すいりょくはつでん）ー수력 발전	みず 水（みず）ー물 水着（みずぎ）ー수영복 鼻水（はなみず）ー콧물 水気（みずけ）ー수분 塩水（しおみず）ー소금물, 바닷물	
気	기운 기	き 天気（てんき）ー날씨 天気予報（てんきよほう）ー일기 예보 病気（びょうき）ー병 元気（げんき）ー원기, 기력 電気（でんき）ー전기 気分（きぶん）ー기분 本気（ほんき）ー본마음 空気（くうき）ー공기 人気（にんき）ー인기 平気（へいき）ー태연함, 아무렇지도 않음 気楽（きらく）ー홀가분함 勇気（ゆうき）ー용기 気温（きおん）ー기온 活気（かっき）ー활기 気体（きたい）ー기체 気付く（きづく）ー깨닫다 気持ち（きもち）ー기분 雰囲気（ふんいき）ー분위기 景気（けいき）ー경기 蒸気（じょうき）ー증기 気候（きこう）ー기후 換気（かんき）ー환기 気圧（きあつ）ー기압 湿気（しっき）ー습기 け 湿気（しっけ）ー습기 呆気ない（あっけない）ー어이없다 気配（けはい）ー기척 人気（ひとけ）ー인기척 水気（みずけ）ー수분, 물기 塩気（しおけ）ー소금기 寒気（さむけ）ー한기 景色（けしき）ー경치, 풍경 怖気（おぞけ）ー공포심 火の気（ひのけ）ー화기 意気地（いくじ）ー고집		증기 기(汽) / 기운 기(気)
上	윗 상	じょう 上手（じょうず）ー솜씨가 좋음 以上（いじょう）ー이상 屋上（おくじょう）ー옥상 上下（じょうげ）ー상하 上司（じょうし）ー상사 上品（じょうひん）ー품위가 있음 頂上（ちょうじょう）ー정상 上陸（じょうりく）ー상륙 上昇（じょうしょう）ー상승 向上（こうじょう）ー향상 しょう 身上（しんしょう）ー신상 身上（しんじょう）ー재산, 밑천	うえ 上（うえ）ー위 年上（としうえ）ー연상 身の上（みのうえ）ー신상, 환경 うわ 上着（うわぎ）ー상의 かみ 上半期（かみはんき）ー상반기  川上（かわかみ）ー상류 上げる（あげる）ー올리다 売上（うりあげ）ー매상 上がる（あがる）ー오르다 上る（のぼる）ー올라가다 上せる（のぼせる）ー올리다 上す（のぼす）ー올리다	
下	아래 하	か 以下（いか）ー이하 廊下（ろうか）ー복도 地下（ちか）ー지하 地下資源（ちかしげん）ー지하자원 地下鉄（ちかてつ）ー지하철 下降（かこう）ー하강 落下（らっか）ー낙하 下流（かりゅう）ー하류 下半身（かはんしん）ー하반신 げ 下水（げすい）ー하수 下車（げしゃ）ー하차 上下（じょうげ）ー상하 値下げ（ねさげ）ー가격 인하 下痢（げり）ー설사	した 下（した）ー아래 下見（したみ）ー예비 조사, 미리 읽음  下手（へた）ー서투름 しも 下（しも）ー아래 川下（かわしも）ー하류 もと 下（もと）ー아래 足下（あしもと）ー발밑 下げる（さげる）ー낮추다 下がる（さがる）ー내려가다 下る（くだる）ー내려가다 下す（くだす）ー내리다 下さる（くださる）ー주시다  下ろす（おろす）ー내리다 下りる（おりる）ー내리다	
知	알 지(알고있는 지식을 화살(矢)처럼 말(口)함)	ち 承知（しょうち）ー승낙, 알아들음 知識（ちしき）ー지식 知識人（ちしきじん）ー지식인 通知（つうち）ー통지 知恵（ちえ）ー지혜 知恵を借りる（ちえをかりる）ー지혜를 빌리다 認知（にんち）ー인지 認知症（にんちしょう）ー치매 知能（ちのう）ー지능 知能犯（ちのうはん）ー지능범 未知（みち）ー미지 未知数（みちすう）ー미지수 実力は未知数だ（じつりょくはみちすうだ）ー실력은 미지수다 知性（ちせい）ー지성 無知（むち）ー무지 無知が恥ずかしい（むちがはずかしい）ー무지가 부끄럽다 知覚（ちかく）ー지각 知覚神経（ちかくしんけい）ー지각신경 知力（ちりょく）ー지력 県知事（けんちじ）ー현지사 全知全能（ぜんちぜんのう）ー전지전능	知る（しる）ー알다 知り合い（しりあい）ー지인 会い知る（あいしる）ー서로 알게 되다	알 지(知) / 어리석을 치(痴)
寞	고요할 막(집(宀)에아무도없어(莫) 고요함) (저물 모 / 없을 막(莫) : 해(日)위에 큰(大)풀(艹)로 해가 저문(없는)것같음)	ばく 漠々（ばくばく）ー막막 寂寞（せきばく、じゃくまく）ー적막 寂寞を破る鳥の声 （せきばくをやぶるとりのこえ）ー적막을 깨드리는 새소리 寂寞感（せきばくかん）ー적막감 索莫（さくばく）ー삭막		저물 모(없을 막) (莫) / 저물 모(暮) / 모을(뽑을) 모(募) / 장막 막(幕) / 그리워할 모(慕) / 무덤 묘(墓) / 넓을(사막) 막(漠) / 본뜰 모(模) / 얇을(막) 막(膜) / 고요할 막(寞)
蒙	어두울 몽(집(家)을 풀(艹)로 덮으니(冖) 어두움)	もう 啓蒙（けいもう）ー계몽 大衆を啓蒙する（たいしゅうをけいもうする）ー대중을 계몽하다		집 가(家) / 심을 가(稼) / 시집갈 가(嫁) / 어두울 몽(蒙) / 무덤 총(塚)
玻	유리 파(옥(玉)의 가죽(皮)는 유리로 되어있음)	は 玻璃（はり）ー유리 (파리)		
鰻	뱀장어 만(길게(曼)생긴 물고기(魚)는 뱀장어)  (길게 끌 만(曼) : 손(又)으로 그물(罒)을 끌듯 길게 말(曰)함)		うなぎ 鰻（うなぎ）ー뱀장어 鰻丼（うなどん）ー장어덮밥	길게 끌 만(曼) / 흩어질 만(漫) / 거만할 만(慢) / 뱀장어 만(鰻)
煽	부채질할 선(불(火)난곳에 부채(扇)질함) (부채 선(扇) : 문짝(戶)같은 곳에 단 날개(羽))	せん 煽動（せんどう）ー선동 煽情（せんじょう）ー선정 煽情的（せんじょうてき）ー선정적	煽てる（おだてる）ー치켜세우다, 부추키다 煽てて酒を奢らせる（あだててさけをおごらせる）ー추어올려서 술 한턱 쏘게 하다 煽る（あおる）ー부추기다, 선동하다 民衆を煽る（みんしゅうをあおる）ー민중을 선동하다	부채 선(扇) / 부채질할 선(煽)
讐	원수 수(새(隹)두마리가 원수마냥 말(言)싸움 함)	しゅう 復讐（ふくしゅう）ー복수  復讐心（ふくしゅうしん）ー복수심 彼の心は怒りと復讐心で一杯だった（かれのこころはいかりとふくしゅうしんでいっぱいだった）ー그의 마음은 분노와 복수심으로 가득 찼다  復讐の鬼と化する（ふくしゅうのおにとかする）ー복수의 화신으로 변하다		
醤	장 장(장수(将)가 술(酒)먹을때만 먹을수있는 귀한 간장, 된장) (장수 장(将) : 장기판 나무(丬)를 손톱(爫)으로 조금씩(寸)옮기며 지휘하는 장수)	しょう 醤油（しょうゆ）ー간장		장수 장(将) / 장려할 장(奨) / 장 장(醤)
繍	자수 수(엄숙(粛)히 실(糸)을 놓는 자수) (엄숙할 숙(粛) : 손(彐)으로 쌀(米)을 틀(/ /)을 대고 엄숙히 샘)	しゅう 刺繍（ししゅう）ー자수  繊細で緻密な東洋刺繍（せんさいでちみつなとうようししゅう）ー섬세하고 치밀한 동양 자수		엄숙할 숙(粛) / 자수 수(繍)
痺	저릴 비(병(疒)든 신분이 낮은(卑) 노비는 온몸이 저림)   (낮을 비(卑) : 헤진(丿) 흰(白)옷만 열개(十)있는 노비는 신분이 낮음)	ひ 麻痺（まひ）ー마비 寒さのため手足が麻痺する（さむさのためてあしがまひする）ー추위 때문에 손발이 마비되다 心臓麻痺（しんぞうまひ）ー심장마비 小児麻痺（しょうにまひ）ー소아마비	痺れる（しびれる）ー저리다, 마비되다 感電して痺れる（かんでんしてしびれる）ー감전되어 마비되다	낮을 비(卑) / 비석 비(碑) / 저릴 비(痺)
